图号,图名,图类型,对象,分类或日期,系列,数值,单位,口径说明,来源,核验日期
P1,粉色6人按地区表,饼图,合计,台湾,人数,2,人,台湾表2人：沁柔、妄娜,IMOK xlsx 台湾表,2026-09-12
P1,粉色6人按地区表,饼图,合计,中国,人数,2,人,中国表2人：居猫夫人、橘七七,IMOK xlsx 中国表,2026-09-12
P1,粉色6人按地区表,饼图,合计,日本,人数,2,人,日本表2人：くるみ、久木田,IMOK xlsx 日本表,2026-09-12
P2,主平台是否贴约50万,饼图,合计,过线,人数,1,人,仅沁柔 IG 54.8万,2026-09-12 IG主页,2026-09-12
P2,主平台是否贴约50万,饼图,合计,接近,人数,1,人,妄娜 IG 46.9万，差3.1万,2026-09-12 IG主页,2026-09-12
P2,主平台是否贴约50万,饼图,合计,不够,人数,4,人,くるみ/居猫夫人/橘七七/久木田,名单+当天核验,2026-09-12
P3,对接进度,饼图,合计,已发邮件,人数,1,人,沁柔 joanne7017@gmail.com,musinsa-email-sent.csv,2026-09-12
P3,对接进度,饼图,合计,待私信,人数,2,人,妄娜 IG、居猫夫人小红书,对接记录,2026-09-12
P3,对接进度,饼图,合计,未联系,人数,3,人,くるみ、橘七七、久木田,对接记录,2026-09-12
P4,内容人设,饼图,合计,生活时尚穿搭,人数,3,人,沁柔、くるみ、居猫夫人,公开内容判断,2026-09-12
P4,内容人设,饼图,合计,身材泳装,人数,1,人,妄娜,公开内容判断,2026-09-12
P4,内容人设,饼图,合计,校园艺人写真,人数,1,人,久木田,维基/事务所,2026-09-12
P4,内容人设,饼图,合计,在韩学生创作者,人数,1,人,橘七七 IG挂延世GCSD,2026-09-12 IG,2026-09-12
P5,跟韩国的关系,饼图,合计,人已在韩/高频赴韩,人数,2,人,くるみ月1渡韩且9/11在韩；橘七七疑似延世在读,IG主页,2026-09-12
P5,跟韩国的关系,饼图,合计,去过且有工作成分,人数,1,人,沁柔 2023民视新闻,民视2023-06-29,2026-09-12
P5,跟韩国的关系,饼图,合计,在韩赛道、商单多,人数,1,人,居猫夫人 TooBigData 82单,TooBigData 2026榜,2026-09-12
P5,跟韩国的关系,饼图,合计,去过/血缘，无商单,人数,2,人,妄娜混血；久木田渡韩药妆,公开报道,2026-09-12
B1,主平台粉丝 vs 约50万,柱状图,沁柔,沁柔,主平台粉丝,54.8,万,IG 2026-09-12主页 548K,https://www.instagram.com/yuchinjou/,2026-09-12
B2,距约50万差多少,柱状图,沁柔,沁柔,主平台减50万,4.8,万,正数超过，负数还差,https://www.instagram.com/yuchinjou/,2026-09-12
B1,主平台粉丝 vs 约50万,柱状图,妄娜,妄娜,主平台粉丝,46.9,万,IG 2026-09-12主页 469K,https://www.instagram.com/wanna10_4/,2026-09-12
B2,距约50万差多少,柱状图,妄娜,妄娜,主平台减50万,-3.1,万,正数超过，负数还差,https://www.instagram.com/wanna10_4/,2026-09-12
B1,主平台粉丝 vs 约50万,柱状图,くるみ,くるみ,主平台粉丝,20.3,万,IG 2026-09-12主页 203K,https://www.instagram.com/krm.__.mrk/,2026-09-12
B2,距约50万差多少,柱状图,くるみ,くるみ,主平台减50万,-29.7,万,正数超过，负数还差,https://www.instagram.com/krm.__.mrk/,2026-09-12
B1,主平台粉丝 vs 约50万,柱状图,居猫夫人,居猫夫人,主平台粉丝,33.8,万,名单小红书 약 338K，当天未打开实时主页,IMOK xlsx 中国表R3,名单
B2,距约50万差多少,柱状图,居猫夫人,居猫夫人,主平台减50万,-16.2,万,正数超过，负数还差,IMOK xlsx 中国表R3,名单
B1,主平台粉丝 vs 约50万,柱状图,橘七七,橘七七,主平台粉丝,11.1,万,名单小红书 약 111K；当天IG仅1.29万不代替主平台,IMOK xlsx 中国表R4,名单
B2,距约50万差多少,柱状图,橘七七,橘七七,主平台减50万,-38.9,万,正数超过，负数还差,IMOK xlsx 中国表R4,名单
B1,主平台粉丝 vs 约50万,柱状图,久木田,久木田,主平台粉丝,24.3,万,名单IG 243K，当天主页超时,IMOK xlsx 日本表R11,名单
B2,距约50万差多少,柱状图,久木田,久木田,主平台减50万,-25.7,万,正数超过，负数还差,IMOK xlsx 日本表R11,名单
B3,名单数 vs 当天核到,分组柱,沁柔 IG,沁柔 IG,名单,54.5,万,名单545K / 当天548K,IMOK台湾R7 + IG,2026-09-12
B3,名单数 vs 当天核到,分组柱,沁柔 IG,沁柔 IG,2026-09-12核到,54.8,万,名单545K / 当天548K,IMOK台湾R7 + IG,2026-09-12
B3,名单数 vs 当天核到,分组柱,妄娜 IG,妄娜 IG,名单,46.9,万,名单与当天一致469K,IMOK台湾R12 + IG,2026-09-12
B3,名单数 vs 当天核到,分组柱,妄娜 IG,妄娜 IG,2026-09-12核到,46.9,万,名单与当天一致469K,IMOK台湾R12 + IG,2026-09-12
B3,名单数 vs 当天核到,分组柱,くるみ IG,くるみ IG,名单,17.8,万,名单178K / 当天203K,IMOK日本R4 + IG,2026-09-12
B3,名单数 vs 当天核到,分组柱,くるみ IG,くるみ IG,2026-09-12核到,20.3,万,名单178K / 当天203K,IMOK日本R4 + IG,2026-09-12
B3,名单数 vs 当天核到,分组柱,居猫夫人 小红书,居猫夫人 小红书,名单,33.8,万,名单约338K / TooBigData 328203,IMOK中国R3 + TBD榜,2026-09-12
B3,名单数 vs 当天核到,分组柱,居猫夫人 小红书,居猫夫人 小红书,2026-09-12核到,32.8,万,名单约338K / TooBigData 328203,IMOK中国R3 + TBD榜,2026-09-12
B4,双平台体量（不混加）,分组柱,沁柔,沁柔,第二平台,12.0,万,YouTube @yuchinjou9654 约120K / 83视频,YouTube频道页,2026-09-12
B4,双平台体量（不混加）,分组柱,妄娜,妄娜,第二平台,84.9,万,YouTube 约849K，第三方2026-08,ReachRanking,2026-08
B4,双平台体量（不混加）,分组柱,くるみ,くるみ,第二平台,21.1,万,TikTok名单211.4K，当天未重核,IMOK日本R4,名单
B4,双平台体量（不混加）,分组柱,居猫夫人,居猫夫人,第二平台,16.1,万,抖音名单161K,IMOK中国R3,名单
B4,双平台体量（不混加）,分组柱,橘七七,橘七七,第二平台,0.83,万,抖音名单8.3K,IMOK中国R4,名单
B4,双平台体量（不混加）,分组柱,久木田,久木田,第二平台,0,万,名单TikTok栏空,IMOK日本R11,名单
L1,美丽妄娜YouTube订阅趋势,折线,妄娜,2019-04,YouTube订阅,8,万,ttshow称已累积8万订阅,https://www.ttshow.tw/article/57699,2019-04-05
L1,美丽妄娜YouTube订阅趋势,折线,妄娜,2019-11,YouTube订阅,40.6,万,镜周刊写40.6万订阅,https://www.mirrormedia.mg/story/20191104ent006,2019-11-04
L1,美丽妄娜YouTube订阅趋势,折线,妄娜,2020-07,YouTube订阅,64.1,万,桃园新闻网MIXDO稿写64.1万订阅,https://tyenews.com/2020/07/285534,2020-07
L1,美丽妄娜YouTube订阅趋势,折线,妄娜,2023-08,YouTube订阅,85,万,三立/ETtoday写超过85万,SETN / ETtoday,2023-08
L1,美丽妄娜YouTube订阅趋势,折线,妄娜,2026-08,YouTube订阅,84.9,万,"ReachRanking 849,000",https://reachranking.com/youtube/UCEk2wuevkGZFQ5BYrGgcFYw,2026-08
L2,沁柔Instagram粉丝趋势,折线,沁柔,2025-09,IG粉丝,53.26,万,第三方Hafi月度，未与IG后台核对,Hafi yuchinjou,第三方
L2,沁柔Instagram粉丝趋势,折线,沁柔,2025-12,IG粉丝,53.68,万,第三方Hafi月度,Hafi yuchinjou,第三方
L2,沁柔Instagram粉丝趋势,折线,沁柔,2026-03,IG粉丝,53.97,万,第三方Hafi月度,Hafi yuchinjou,第三方
L2,沁柔Instagram粉丝趋势,折线,沁柔,2026-06,IG粉丝,54.44,万,第三方Hafi月度,Hafi yuchinjou,第三方
L2,沁柔Instagram粉丝趋势,折线,沁柔,2026-08,IG粉丝,54.59,万,"第三方Hafi 545,850",Hafi yuchinjou,第三方
L2,沁柔Instagram粉丝趋势,折线,沁柔,2026-09-12,IG粉丝,54.8,万,我们打开IG主页,instagram.com/yuchinjou,2026-09-12
L3,くるみInstagram粉丝趋势,折线,くるみ,2026-05,IG粉丝,17.9,万,"tri-as 178,960",influencer.tri-as.co.jp,2026-05
L3,くるみInstagram粉丝趋势,折线,くるみ,2026-09-12,IG粉丝,20.3,万,当天主页203K,instagram.com/krm.__.mrk,2026-09-12
L4,居猫夫人小红书粉丝趋势,折线,居猫夫人,2023-10,小红书粉丝,26.5,万,热浪日榜粉丝26.5万 ID 153455367,relangdata 2023-10-01,2023-10-01
L4,居猫夫人小红书粉丝趋势,折线,居猫夫人,2026榜,小红书粉丝,32.8,万,"TooBigData在韩赛道第39名 328,203",toobigdata.com/mkt/729.html,2026
L4,居猫夫人小红书粉丝趋势,折线,居猫夫人,名单,小红书粉丝,33.8,万,名单 약 338K，名单制作日期未知,IMOK xlsx 中国表R3,名单
S1,六项条件人工打分,分组柱,沁柔,沁柔,粉量贴50万,5,分(0-5),5=当天主平台约50万,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,沁柔,沁柔,台湾优先,5,分(0-5),5=台湾表且非韩国籍,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,沁柔,沁柔,内容匹配店播,5,分(0-5),5=生活穿搭时尚视频,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,沁柔,沁柔,9月人在韩/能去,2,分(0-5),5=已在韩或高频赴韩,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,沁柔,沁柔,已对接,5,分(0-5),5=已发出询价,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,沁柔,沁柔,韩国商务证据,3,分(0-5),5=有可点名韩国官方/品牌（这6人里没有5分）,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,妄娜,妄娜,粉量贴50万,4,分(0-5),5=当天主平台约50万,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,妄娜,妄娜,台湾优先,5,分(0-5),5=台湾表且非韩国籍,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,妄娜,妄娜,内容匹配店播,2,分(0-5),5=生活穿搭时尚视频,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,妄娜,妄娜,9月人在韩/能去,1,分(0-5),5=已在韩或高频赴韩,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,妄娜,妄娜,已对接,2,分(0-5),5=已发出询价,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,妄娜,妄娜,韩国商务证据,1,分(0-5),5=有可点名韩国官方/品牌（这6人里没有5分）,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,くるみ,くるみ,粉量贴50万,2,分(0-5),5=当天主平台约50万,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,くるみ,くるみ,台湾优先,3,分(0-5),5=台湾表且非韩国籍,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,くるみ,くるみ,内容匹配店播,5,分(0-5),5=生活穿搭时尚视频,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,くるみ,くるみ,9月人在韩/能去,5,分(0-5),5=已在韩或高频赴韩,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,くるみ,くるみ,已对接,1,分(0-5),5=已发出询价,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,くるみ,くるみ,韩国商务证据,3,分(0-5),5=有可点名韩国官方/品牌（这6人里没有5分）,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,居猫夫人,居猫夫人,粉量贴50万,3,分(0-5),5=当天主平台约50万,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,居猫夫人,居猫夫人,台湾优先,3,分(0-5),5=台湾表且非韩国籍,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,居猫夫人,居猫夫人,内容匹配店播,4,分(0-5),5=生活穿搭时尚视频,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,居猫夫人,居猫夫人,9月人在韩/能去,3,分(0-5),5=已在韩或高频赴韩,人工对照名单+核验,2026-09-12
